category,name,discount,badge,sold,url,image
Personal Care,ESKULIN Kids Shampoo & Conditioner Smooth&Shiny 200ml,-26%,Hadiah Gratis,5RB+ terjual,https://shopee.co.id/ESKULIN-Kids-Shampoo-Conditioner-Smooth-Shiny-200ml-i.186214521.6916798385?extraParams=%7B%22display_model_id%22%3A60591726935%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukx-les8h1nf25a55b
Personal Care,GIV White Body Wash Sakura Pouch 400Ml,-25%,Pilih Lokal,3RB+ terjual,https://shopee.co.id/GIV-White-Body-Wash-Sakura-Pouch-400Ml-i.186214521.8090764240?extraParams=%7B%22display_model_id%22%3A101777986348%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98u-lwe673kskl4t2e
Personal Care,Ellips Hair Vitamin Pro Keratin Complex 6S,-16%,Pilih Lokal,2RB+ terjual,https://shopee.co.id/Ellips-Hair-Vitamin-Pro-Keratin-Complex-6S-i.186214521.4985157365?extraParams=%7B%22display_model_id%22%3A44737685017%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-les8pxxgdc9w98
Personal Care,Softex Comfort Night 36cm 12s - Spesial Bulan Ungu,-17%,,2RB+ terjual,https://shopee.co.id/Softex-Comfort-Night-36cm-12s-Spesial-Bulan-Ungu-i.186214521.23745424286?extraParams=%7B%22display_model_id%22%3A235313432593%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-81ztc-me3wxmxvxceaaf
Personal Care,Guardian Disposable Panties Ladies Xl 5S,-30%,,1RB+ terjual,https://shopee.co.id/Guardian-Disposable-Panties-Ladies-Xl-5S-i.186214521.22828126095?extraParams=%7B%22display_model_id%22%3A69266109911%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98s-lt0idxdga9a598
Personal Care,Giv White Body Wash Smooth & Moist Goats Milk & Almond 400ml,-25%,Hadiah Gratis,4RB+ terjual,https://shopee.co.id/Giv-White-Body-Wash-Smooth-Moist-Goats-Milk-Almond-400ml-i.186214521.47001547557?extraParams=%7B%22display_model_id%22%3A267163784111%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224x-mh5obhogrsawcc
Personal Care,Fino Premium Touch Hair Mask 230Gr,-15%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Fino-Premium-Touch-Hair-Mask-230Gr-i.186214521.29838888341?extraParams=%7B%22display_model_id%22%3A265780288367%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-7ra0n-mcg90r2ijbha44
Personal Care,MIRAEL Brightening Strawberry Sugar Waxing Kit 250Gr,-15%,,244 terjual,https://shopee.co.id/MIRAEL-Brightening-Strawberry-Sugar-Waxing-Kit-250Gr-i.186214521.27901625673?extraParams=%7B%22display_model_id%22%3A215145534322%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98w-lvyg4f0x0fmlda
Personal Care,Aeris Beaute Cloud Conceal Puff 1pcs,-15%,,473 terjual,https://shopee.co.id/Aeris-Beaute-Cloud-Conceal-Puff-1pcs-i.186214521.41623522482?extraParams=%7B%22display_model_id%22%3A296912330559%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-81ztn-mfnsi1h2ehvxfc
Personal Care,Slavina Body Lotion Endless Blossom - Memutihkan Kulit Niacinamide Moisturizing 350Ml,-15%,,248 terjual,https://shopee.co.id/Slavina-Body-Lotion-Endless-Blossom-Memutihkan-Kulit-Niacinamide-Moisturizing-350Ml-i.186214521.43750178025?extraParams=%7B%22display_model_id%22%3A295014280730%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-7rbk7-m9imkgwbudbvae
Personal Care,Loluna Baby Calming Cream 40ml - Krim Wangi Menenangkan Menghangatkan untuk Bayi dan Anak dengan 5x Ceramide Chamomile Peppermint Ginger,-11%,Hadiah Gratis,113 terjual,https://shopee.co.id/Loluna-Baby-Calming-Cream-40ml-Krim-Wangi-Menenangkan-Menghangatkan-untuk-Bayi-dan-Anak-dengan-5x-Ceramide-Chamomile-Peppermint-Ginger-i.186214521.50403969036?extraParams=%7B%22display_model_id%22%3A385377524981%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224s-miwmhjwmy1348d
Personal Care,Systema Pasta Gigi Triple Advance 190gr,-32%,,10RB+ terjual,https://shopee.co.id/Systema-Pasta-Gigi-Triple-Advance-190gr-i.186214521.40770746337?extraParams=%7B%22display_model_id%22%3A224526488038%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/br-11134275-81z1k-mezigni8s45g88
Personal Care,Ellips Hair Mask Pro Keratin Hair Repair Sachet 18gr,-26%,,586 terjual,https://shopee.co.id/Ellips-Hair-Mask-Pro-Keratin-Hair-Repair-Sachet-18gr-i.186214521.51001512040?extraParams=%7B%22display_model_id%22%3A340139436157%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224v-mh5obgcnxuktb8
Personal Care,Posh Hijab Roll On Deodoran Refreshing Cool 50 Ml,-27%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Posh-Hijab-Roll-On-Deodoran-Refreshing-Cool-50-Ml-i.186214521.24368862841?extraParams=%7B%22display_model_id%22%3A187371557749%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-8224y-mh08mdfp649400
Personal Care,Fres & Natural Sabun Mandi Cair BT21 Yellow in Luv Pouch 400Ml,-36%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Fres-Natural-Sabun-Mandi-Cair-BT21-Yellow-in-Luv-Pouch-400Ml-i.186214521.25781694702?extraParams=%7B%22display_model_id%22%3A240957063192%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98t-lw4805fdmcava1
Personal Care,KODOMO Shampoo Gel Strawberry Botol 200ml,-35%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/KODOMO-Shampoo-Gel-Strawberry-Botol-200ml-i.186214521.11733683575?extraParams=%7B%22display_model_id%22%3A111732996560%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98v-lyuppo9u6hwo49
Personal Care,Pepsodent Nanosoft Silver Charcoal 1s,-25%,,50 terjual,https://shopee.co.id/Pepsodent-Nanosoft-Silver-Charcoal-1s-i.186214521.51401521973?extraParams=%7B%22display_model_id%22%3A430139447223%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-82251-mh5obgaysqoa44
Personal Care,FRES & NATURAL BT21 Persona Blush 100ml,-25%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/FRES-NATURAL-BT21-Persona-Blush-100ml-i.186214521.3285303033?extraParams=%7B%22display_model_id%22%3A34740655234%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbgiir6zxo7a25
Personal Care,Emeron Shampoo BT21 Anti Ketombe 340Ml,-31%,,1RB+ terjual,https://shopee.co.id/Emeron-Shampoo-BT21-Anti-Ketombe-340Ml-i.186214521.43665098118?extraParams=%7B%22display_model_id%22%3A301249210810%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-7ra0o-mdvbmg3gstgoe1
Personal Care,Natur Hair Tonic Aloe Vera 90Ml - Tonik Menebalkan rambut,-20%,Pilih Lokal,475 terjual,https://shopee.co.id/Natur-Hair-Tonic-Aloe-Vera-90Ml-Tonik-Menebalkan-rambut-i.186214521.10233694524?extraParams=%7B%22display_model_id%22%3A77036136424%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7rasi-m1zjuq704rs84d
Personal Care,Grace and Glow White-B3 Bright Body Gel Serum 100Ml,-15%,,2RB+ terjual,https://shopee.co.id/Grace-and-Glow-White-B3-Bright-Body-Gel-Serum-100Ml-i.186214521.25727484033?extraParams=%7B%22display_model_id%22%3A255740718439%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wg-mm9qp17oxwr349
Personal Care,EMERON Hair Vitamin Black & Shine 6X1ml,-33%,,1RB+ terjual,https://shopee.co.id/EMERON-Hair-Vitamin-Black-Shine-6X1ml-i.186214521.9990446302?extraParams=%7B%22display_model_id%22%3A37017990636%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-les8vy9lsbb145
Personal Care,Rexona Men Delotion Tube Seluruh Tubuh Arctic Sea 50ml,-40%,,138 terjual,https://shopee.co.id/Rexona-Men-Delotion-Tube-Seluruh-Tubuh-Arctic-Sea-50ml-i.186214521.41426562664?extraParams=%7B%22display_model_id%22%3A405154883108%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224z-mh8iowponrpq88
Personal Care,Mise en Scene Hello Bubble Hair Color Pewarna Rambut Foam,-10%,Hadiah Gratis,3RB+ terjual,https://shopee.co.id/Mise-en-Scene-Hello-Bubble-Hair-Color-Pewarna-Rambut-Foam-i.186214521.26363546769?extraParams=%7B%22display_model_id%22%3A370392034948%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-8224x-mj3m9yo9c2df70
Personal Care,Ellips Hair Vitamin Pro Keratin Silky Black Blister 6 Butir,-16%,,674 terjual,https://shopee.co.id/Ellips-Hair-Vitamin-Pro-Keratin-Silky-Black-Blister-6-Butir-i.186214521.54901139171?extraParams=%7B%22display_model_id%22%3A350104087261%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/br-11134275-81z1k-mgw2xy5eylmo6a
Personal Care,ELLIPS Hair Vitamin Smooth & Shiny 50ml,-25%,Pilih Lokal,2RB+ terjual,https://shopee.co.id/ELLIPS-Hair-Vitamin-Smooth-Shiny-50ml-i.186214521.6904531947?extraParams=%7B%22display_model_id%22%3A60591747471%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qul0-les8h330ym9pf3
Personal Care,Elips Hair Mask Volume Miracle 20gr,-25%,,461 terjual,https://shopee.co.id/Elips-Hair-Mask-Volume-Miracle-20gr-i.186214521.43476477324?extraParams=%7B%22display_model_id%22%3A340139452631%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224o-mh5obg9ywhsdbf
